,backend,basis_gate,q1,q2,error
470,ibm_kyiv,sx,72,,0.00039932075750329836
471,ibm_kyiv,sx,73,,0.0002963973629205336
472,ibm_kyiv,sx,74,,0.001600200021097703
473,ibm_kyiv,sx,75,,0.0002524051066341297
474,ibm_kyiv,sx,76,,0.0001521179924016759
475,ibm_kyiv,sx,77,,0.0009664245032122332
476,ibm_kyiv,sx,78,,7.900153367974795e-05
477,ibm_kyiv,sx,79,,0.0006397717585103131
478,ibm_kyiv,sx,80,,0.08859508135535998
479,ibm_kyiv,sx,81,,0.00016559351615015106
480,ibm_kyiv,sx,82,,0.0008849877548103604
481,ibm_kyiv,sx,83,,0.00024556066511198337
482,ibm_kyiv,sx,84,,0.00015713487192752288
483,ibm_kyiv,sx,85,,0.0001350573945066161
484,ibm_kyiv,sx,86,,0.0007672126723136376
485,ibm_kyiv,sx,87,,0.0005409755592469053
486,ibm_kyiv,sx,88,,0.0001625240632288177
487,ibm_kyiv,sx,89,,9.001612654968038e-05
488,ibm_kyiv,sx,90,,0.00015232161068050507
489,ibm_kyiv,sx,91,,0.0002454887403279255
490,ibm_kyiv,sx,92,,0.00014725801328133392
491,ibm_kyiv,sx,93,,0.000585488727522634
492,ibm_kyiv,sx,94,,0.0004500919301156692
493,ibm_kyiv,sx,95,,0.00016958784567318793
494,ibm_kyiv,sx,96,,0.00014118028751165766
495,ibm_kyiv,sx,97,,0.0003694888806606047
496,ibm_kyiv,sx,98,,0.0004223571738540251
497,ibm_kyiv,sx,99,,0.0005339375150375137
498,ibm_kyiv,sx,100,,0.00039308421392327317
499,ibm_kyiv,sx,101,,0.0007917468482044537
500,ibm_kyiv,sx,102,,8.759821592291724e-05
501,ibm_kyiv,sx,103,,0.00015432065740784057
502,ibm_kyiv,sx,104,,0.00045638969426798416
503,ibm_kyiv,sx,105,,0.0007727028511649947
504,ibm_kyiv,sx,106,,0.0006739519246108042
505,ibm_kyiv,sx,107,,0.0002319747625993779
506,ibm_kyiv,sx,108,,0.00038917856450649874
507,ibm_kyiv,sx,109,,5.5755809628282606e-05
508,ibm_kyiv,sx,110,,0.00025095215609652815
509,ibm_kyiv,sx,111,,0.0004503271132000279
510,ibm_kyiv,sx,112,,0.00013729807749160607
511,ibm_kyiv,sx,113,,0.0002442495886847254
512,ibm_kyiv,sx,114,,0.00038162399954893206
